Date,News,Class,Link,Text
16 апреля,Викторину о столичных электронных проектах запустили в «Активном гражданине»,Социальная сфера,https://www.mos.ru//news/item/72616073/,"Москвичи ответят на вопросы о портале «Наш город», краудсорсинговой платформе Правительства Москвы, проекте «Электронный дом», московских электронных услугах и сервисах.
В мае «Активному гражданину» исполняется шесть лет. В преддверии дня рождения пройдет викторина, посвященная столичным электронным проектам, которые помогают делать жизнь в городе комфортнее и лучше.
Участникам конкурса предстоит ответить на вопросы об «Активном гражданине», а также о московских электронных услугах и сервисах, «Электронном доме», краудсорсинг-проектах Правительства Москвы и портале «Наш город». 
Викторина состоит из трех частей, в каждой будет по пять вопросов. Уже открыта первая часть — «активные граждане» проверят знания об истории развития московских проектов и о том, какие именно изменения в городе связаны с ними.
Те, кто правильно ответят на все вопросы и выполнят другие условия акции, смогут претендовать на победу и выбрать призы из раздела «Мероприятия» в магазине поощрений. 
Участвовать в викторине сможет каждый участник проекта «Активный гражданин». Всего выберут 1000 победителей.
«Активный гражданин» открылся в 2014 году. К нему присоединились более 2,9 миллиона человек. Участники выбирают улицы и дворы, которые необходимо благоустроить, голосуют за мероприятия для фестивалей и праздников, предлагают собственные идеи по развитию города.
С момента запуска проекта москвичи приняли участие более чем в 4,5 тысячи голосований."
16 апреля,На портале «Узнай Москву» проведут краеведческий онлайн-диктант,Культура,https://www.mos.ru//news/item/72692073/,"Фото: mos.ru. Юлия Иванко
Он будет посвящен городским объектам культурного наследия.
На портале «Узнай Москву» состоится познавательный диктант «Московский код», посвященный объектам культурного наследия столицы. Его проведут 18 апреля, в Международный день охраны памятников и достопримечательных мест.
«В юбилейный для Дней исторического и культурного наследия год в столице впервые пройдет краеведческий онлайн-диктант. Любой желающий может проверить свои знания о Москве, а заодно узнать интересные факты о меценатах и архитекторах, благодаря которым в столице появились многие знаменитые здания. Возрастных ограничений нет, поэтому мы приглашаем горожан участвовать всей семьей», — рассказала Наталья Сергунина, заместитель Мэра Москвы.
Присоединиться к диктанту можно будет в любое время с 11:00 до 22:00, на него отводят полтора часа. В программу диктанта войдет 40 вопросов в формате теста, после каждого вопроса участники будут получать развернутый правильный ответ. После прохождения им пришлют электронный сертификат об участии.
Составляли диктант преподаватели Московского государственного университета имени М.В. Ломоносова, историки и краеведы. Он проводится Департаментом культурного наследия при поддержке Департамента информационных технологий, Департамента образования и науки, Московской городской Думы, Общественной палаты Москвы.
Кроме того, библиотеки Департамента культуры запустили новые онлайн-проекты, посвященные психологии, истории, литературе и путешествиям. Там можно найти лекции, мастер-классы, экскурсии, познавательные статьи и многое другое."
16 апреля,Мосгорнаследие подтвердило ценность ванны в особняке XIX века,Археология и памятники архитектуры,https://www.mos.ru//news/item/72691073/,"Она отреставрирована и экспонируется под стеклом в особняке.
Эксперты по результатам масштабного исследования составили полный перечень ценных и подлинных элементов жилого дома XIX века на Страстном бульваре, в котором когда-то располагалась знаменитая водолечебница доктора медицины Адольфа Редлиха. Мосгорнаследие подтвердило ценность одного из предметов — ванны.
Здание, в котором она находится, имеет статус объекта культурного наследия федерального значения.
«В 2016 году в доме на Страстном бульваре провели комплексную реставрацию, а в 2018-м работы по приспособлению памятника к современному использованию. Во время последних и была обнаружена старинная ванна, которую после научных исследований было решено внести в предмет охраны здания. Специалисты определили, что она появилась в доме именно в период функционирования водолечебницы и использовалась доктором Редлихом для медицинских целей. Сейчас она отреставрирована и экспонируется под стеклом в особняке», — рассказал руководитель Мосгорнаследия Алексей Емельянов. 
Глава ведомства уточнил, что ванна представляет собой небольшое углубление с лестничным спуском в нижнем уровне пола. Кроме нее, в предмет охраны вошли, в частности, архитектурный облик дома, декоративное оформление фасадов и их цвет, местоположение и размер окон и дверей, планировка интерьеров, сводчатый подвал, декоративное оформление помещений (в том числе фрагменты цветной плитки и штукатурных карнизов), а также арки анфилады на первом этаже.
Работает на API 2ГИС
Лицензионное соглашение
Возведение дома началось в 1812 году на участке, который тогда принадлежал купцу Федору Пику, но строительству помешала война. Завершить его удалось только в 1814-м.
В 1856 году дом купил коллежский асессор Адольф Федорович Редлих — известный врач, владелец крупного водолечебного заведения.
На первом этаже он обустроил водолечебницу и оборудовал кабинеты с ванными комнатами. В советское время там находился архив военкомата, а в 2013-м здание передали Государственному театру наций."
16 апреля,#ЧитаемДекамерон: к литературной акции присоединились новые звезды театра и кино,Культура,https://www.mos.ru//news/item/72690073/,"Среди них Вениамин Смехов, Анатолий Белый, Игорь Золотовицкий и другие.
К литературной акции #ЧитаемДекамерон, которая проходит в рамках культурно-образовательного онлайн-проекта #Москвастобой столичного Комитета по туризму, присоединились новые участники.
Чтецами новелл итальянского писателя Джованни Боккаччо стали актеры театра и кино Вениамин Смехов и Анатолий Белый, ректор Школы-студии МХАТ Игорь Золотовицкий, актрисы театра и кино Ольга и Мария Лапшины, художественный руководитель театра «Практика» Марина Брусникина, актер и режиссер Алексей Розин, актриса Марина Васильева, а также журналист, писатель и издатель Игорь Шулинский.
История вопроса
Читаем вслух: новеллы «Декамерона» прозвучат онлайн
Видеозаписи выступлений можно посмотреть на сайте проекта, а также на платформе коротких видео TikTok в официальном аккаунте.
В рамках акции #ЧитаемДекамерон уже доступны 14 видеоновелл. Ранее к проекту присоединились актрисы театра и кино Анна Чиповская, Ольга Сутулова и Ольга Ефремова, журналистка и писательница Алена Долецкая, писатель и актер Григорий Служитель, архитектор Сергей Мешалкин.
Литературная акция #ЧитаемДекамерон открыта для новых участников. Записать одну из новелл и поделиться видео может любой желающий с помощью формы обратной связи на сайте проекта #Москвастобой. Лучшие из присланных видеозаписей будут опубликованы.
#Москвастобой — это новая онлайн-площадка, запущенная Комитетом по туризму города Москвы https://www.mos.ru/tourism/, которая позволяет виртуально посетить интересные экскурсии, послушать лекции, увидеть театральные представления, кулинарные шоу, модные показы и многое другое. В проекте участвуют более 30 культурных площадок, и их количество увеличивается с каждым днем. Более 50 видеоэкскурсий были записаны специально для проекта.
История вопроса
#Москвастобой: какие экспозиции столичных музеев можно посетить онлайнКнига о лекарствах XVI века и бусы Марины Цветаевой: что еще можно увидеть в онлайн-каталогах столичных музеев
Для профилактики распространения коронавирусной инфекции многие учреждения города закрылись на карантин. Музеи, галереи, библиотеки и культурные центры подготовили обширную онлайн-программу для своих посетителей. Можно побывать на виртуальных экскурсиях, посмотреть выставки, записи концертов и интервью с известными людьми."
16 апреля,Мосприрода запускает серию экологических тестов,Экология,https://www.mos.ru//news/item/72678073/,"Фото: mos.ru. Юлия Иванко
Первый из них посвящен Дню экологических знаний, который отмечают 15 апреля.
Все желающие смогут в режиме онлайн проверить знания в области экологии. Сотрудники Мосприроды подготовили серию тематических тестов. Первый посвящен Дню экологических знаний, который отмечается 15 апреля.
История праздника берет начало с конференции ООН в Рио-де-Жанейро в 1992 году, где обсуждались проблемы окружающей среды и подчеркивалась важность экологического просвещения населения.
Участников ждут 10 вопросов об экологии, раздельном сборе отходов, биологии и заповедном деле. Результаты теста можно будет узнать сразу же. Он доступен по ссылке.
В ближайшее время появятся другие экодиктанты, посвященные экологическим датам, например Дню подснежника (19 апреля), Дню солнца (3 мая), Дню мигрирующих птиц (9 мая). Ссылки на них можно будет найти на официальных страницах Мосприроды в социальных сетях по хештегу #экодиктантМосприроды, а также в новостях на сайте Мосприроды."
16 апреля,История Китайгородской стены и Тверской улицы: что можно узнать из новых онлайн-квестов на портале «Узнай Москву»,Культура,https://www.mos.ru//news/item/72701073/,"Фото: mos.ru. Максим Денисов
Отвечая на вопросы виртуальной игры, пользователи смогут узнать интересные факты из истории улиц, домов и памятников города.
Портал «Узнай Москву» совместно с проектом #Москвастобой столичного Комитета по туризму подготовили для горожан два новых онлайн-квеста. Ответив на вопросы, пользователи смогут узнать занимательные факты о расширении Тверской улицы, знаменитом переезде домов вместе с жильцами, а также историю Китайгородской стены.
«Портал “Узнай Москву” присоединился к циклам познавательных экскурсий и мероприятий проекта #Москвастобой. Теперь не выходя из дома с помощью нашего портала можно проходить увлекательные квесты-викторины на основе городских экскурсий проекта. Помимо этого, жителям доступно одноименное мобильное приложение, где они также могут изучить историю памятников архитектуры, парков, улиц, различных зданий и сооружений», — рассказал куратор ИТ-проектов в сфере культуры и туризма Департамента информационных технологий города Москвы Сергей Шакрыл.
Какая из башен Китайгородской стены является единственной сохранившейся, почему стену не снесли и откуда у нее такое название, когда были построены Третьяковские торговые ряды и сколько раз переносили памятник первопечатнику Ивану Федорову — ответы на эти и другие вопросы участники получат, пройдя новый квест «Взятие Китай-города». Он создан по мотивам популярной городской экскурсии, размещенной на сайте.
Фото: mos.ru. Максим Денисов
«Ежедневно в проекте #Москвастобой появляются новые экскурсии и форматы. С этой недели, например, зрители могут посмотреть шедевры мировых оперных постановок на stayhome.moscow. А теперь у них еще появилась возможность пройти квесты-викторины. В нынешней ситуации, когда люди находятся дома, важно разнообразить досуг и провести это время с пользой», — отмечают в пресс-службе Комитета по туризму города Москвы.
Следующий квест называется «Передвижки домов на Тверской». Он включает в себя 13 вопросов, ответив на которые участники смогут узнать об уникальном технологическом явлении — перемещении зданий. Комментарии и исторические справки расскажут, как родилась идея перемещения зданий в Москве, зачем это понадобилось, какой советский инженер разработал эту технологию и многое другое.
Посмотреть все онлайн-экскурсии проекта #Москвастобой пользователи могут на сайте. Всего в проекте участвуют более 30 культурных площадок, среди которых Третьяковская галерея, Государственный музей изобразительных искусств имени А.С. Пушкина, музей современного искусства «Гараж», Московский зоопарк, музей-заповедник «Царицыно», Московский планетарий, Музей Москвы, Музей Победы, Государственный исторический музей, проект «Москва глазами инженера», театр «Балет Москва» и другие. Помимо онлайн-экскурсий, жителям на портале доступны кулинарные и театральные онлайн-трансляции, виртуальные прогулки и лекции.
«Узнай Москву» — совместный проект столичных департаментов информационных технологий, культуры, культурного наследия, образования и науки.
Интерактивный гид по достопримечательностям столицы содержит описания более двух тысяч зданий и сооружений, 635 памятников, 327 музеев, 195 территорий, сведения о 207 исторических личностях и 119 тематических прогулочных маршрутах.
Пользователям также доступно приложение для смартфонов «Узнай Москву», которое можно скачать в App Store и Google Play.
Оставаясь дома, горожане могут совершить виртуальную прогулку по крышам известных исторических зданий или изучить убранство старинных особняков, усадеб, гостиниц и дворцов. А для любителей головоломок на портале «Узнай Москву» собраны более 40 познавательных квестов. Среди них онлайн-квест по местам в столице, где проходили съемки известных советских комедий. Отвечая на 10 вопросов виртуальной игры, пользователи узнают, где училась героиня фильма «Приходите завтра» Фрося Бурлакова и какой улицей любовался Иван Грозный с балкона многоэтажки в одной из сцен ленты «Иван Васильевич меняет профессию»."
16 апреля,К 75-летию Победы: юных горожан приглашают поучаствовать в поэтическом онлайн-проекте,Социальная сфера,https://www.mos.ru//news/item/72686073/,"Фото: mos.ru. Максим Денисов
Видеоролики, в которых дети и подростки прочтут стихотворения о Великой Отечественной войне, разместят в социальных сетях Мосгорпарка и столичных парков культуры и отдыха.
В Год памяти и славы Мосгорпарк запускает специальный поэтический онлайн-проект, приуроченный к 75-летию Победы. Принять участие в нем могут дети и подростки до 18 лет. Для этого необходимо записать видео (в горизонтальном формате), где ребенок читает стихотворение, посвященное Великой Отечественной войне. Снятый ролик нужно прислать на электронный адрес: pr@mosgor-park.ru. Отправить свои работы можно уже сегодня.
Присланные материалы соберут в видеоподборки для публикации на страницах Мосгорпарка «В контакте», «Фейсбуке» и «Инстаграме». Проект также поддержат парки культуры и отдыха, подведомственные столичному Департаменту культуры. Первый видеоклип планируется опубликовать 20 апреля.
«Цель проекта “Парковый стихоговоритель: дети о Победе” — с помощью стихов рассказать юным москвичам о подвиге, который 75 лет назад совершили их прадеды. Участие в онлайн-проекте позволит ребятам глубже погрузиться в историю Великой Отечественной войны, а также прочувствовать важность этого исторического периода. Кроме того, проект имеет большую культурно-образовательную ценность. Благодаря ему участники и зрители узнают о тех военно-патриотических произведениях, о которых не слышали раньше», — пояснили в пресс-службе Мосгорпарка.
Как уточнили в пресс-службе, прочитать можно любое стихотворение о Великой Отечественной войне. Это могут быть как получившие народное признание произведения (например, поэма «Василий Теркин» Александра Твардовского, стихотворения «Мужество» Анны Ахматовой или «Баллада о матери» Андрея Дементьева), так и малоизвестные стихи разных авторов.
«Стихоговоритель» впервые запустили в Перовском парке в 2016 году как часть крупного проекта «OpenArt. Искусство на свежем воздухе». Тогда студенты Российского института театрального искусства читали к памятным датам знаменитые поэтические сочинения, которые потом проигрывались через громкоговорители. Так, в день рождения Сергея Михалкова транслировались такие произведения поэта, как «Мальчик с девочкой дружил», «Джинсы» и отрывок из поэмы «Дядя Степа». В 2017 году к проекту «Стихоговоритель» присоединились дети. Ребята сами рассказывали стихи, которые также транслировались по системе паркового радиооповещения. «Стихоговоритель» был настолько популярен у гостей парка, что проект продлили в 2018 и 2019 годах.
Указом Президента России 2020 год объявлен Годом памяти и славы. В честь 75-летия победы в Великой Отечественной войне в Москве подготовят десятки мероприятий.
На ВДНХ уже начали оцифровку материалов, посвященных Дню Победы и Великой Отечественной войне. К маю в открытом доступе появятся более 700 новых документов. Все материалы будут находиться на сайте медиатеки музея ВДНХ."
15 апреля,Большинство скончавшихся пациентов имели сопутствующие заболевания,Здравоохранение,https://www.mos.ru//news/item/72500073/,"Фото: Пресс-служба Мэра и Правительства Москвы. Максим Мишин
Среди них люди в возрасте от 36 до 86 лет.
В городе скончались семь пациентов, у которых был подтвержден диагноз «пневмония» и получен положительный результат тестов на коронавирусную инфекцию. Об этом сообщает оперативный штаб по контролю и мониторингу ситуации с коронавирусом.
Среди них люди в возрасте от 36 до 86 лет. Пациенты имели сопутствующие заболевания, включая сахарный диабет, гипертонию, кардиосклероз и онкологию.
Оперативный штаб напоминает о необходимости неукоснительного соблюдения режима самоизоляции пожилыми людьми и лицами, имеющими хронические заболевания.
В Москве действует режим повышенной готовности. В городе закрыты развлекательные заведения, салоны красоты, кафе и рестораны. В обычном режиме работают только продовольственные магазины, аптеки, зоомагазины, службы доставки, салоны связи и непродовольственные магазины, где можно купить товары первой необходимости.
Нерабочие дни продлены до 30 апреля. Все жители столицы должны оставаться дома. Покинуть место проживания можно только при обращении за экстренной медицинской помощью и при иной прямой угрозе жизни и здоровью, для похода в ближайший магазин или аптеку, выгула собаки (не более 100 метров от дома), выноса мусора, а также проезда к месту работы (для тех, кто обязан ее посещать).
В общественных местах горожане должны соблюдать дистанцию не менее полутора метров. Это требование не касается поездок на такси.
История вопроса
Оставайтесь дома: болезнь может протекать в тяжелой форме и у молодых пациентовНерабочие дни в Москве: какие ограничения действуют в городе
Узнать больше о профилактике коронавируса и методах борьбы с заболеванием можно по телефону горячей линии: +7 (495) 870-45-09 (ежедневно с 08:00 до 21:00), а также в спецпроекте mos.ru."
15 апреля,Застройщикам отсрочат платежи за изменение вида разрешенного использования участков,Имущественно-земельные отношения,https://www.mos.ru//news/item/72698073/,"Предприниматели смогут рассчитаться до конца года.
Столичные застройщики получат отсрочку на второй квартал 2020 года по оплате за изменение вида разрешенного использования участков. Эта мера призвана снизить экономические риски, связанные с пандемией коронавируса.
«В складывающейся экономической ситуации серьезная финансовая нагрузка ложится на градостроительную отрасль. Изучив запросы со стороны застройщиков, мы приняли решение перенести плату за изменение вида разрешенного использования земельных участков для строительства за второй квартал. Мера коснется 112 городских земельных участков общей площадью 320 гектаров, арендуемых инвесторами, и 27 участков площадью 104 гектара, находящихся в частной собственности. Объем невнесенной платы на этот срок составит около пяти миллиардов рублей. Предприниматели смогут вернуть городу этот отложенный платеж до 31 декабря 2020 года», — рассказал Владимир Ефимов, заместитель Мэра Москвы по вопросам экономической политики и имущественно-земельных отношений, председатель оперативного штаба по экономическим вопросам.
Послабление позволит застройщикам не замораживать реализацию проектов, отметил Максим Гаман, Министр Правительства Москвы, руководитель Департамента городского имущества.
«Объем недвижимости, которая должна быть построена на участках, составляет более девяти миллионов квадратных метров. Это жилые и коммерческие объекты, включая офисы, магазины, торговые центры и многофункциональные комплексы. Поэтому городу важно максимально снизить нагрузку на застройщиков и дать возможность с минимальными потерями возобновить стройку после ограничений. Инвесторам не будут начисляться проценты за рассрочку по платежам во втором квартале 2020 года, что позволит им сэкономить в общей сложности 0,8 миллиарда рублей», — пояснил Максим Гаман.
Для установления отсрочки арендаторам и владельцам участков, изменившим вид их использования, необходимо подать обращение в Департамент городского имущества, указав в нем номер договора либо финансово-лицевого счета.
По результатам рассмотрения обращения Департаментом в течение 30 рабочих дней будет принято решение о предоставлении отсрочки внесения аренды за второй квартал 2020 года.
Подать обращение можно до конца 2020 года через сервис «Электронная приемная» на портале mos.ru, а также направить его почтой в адрес Департамента городского имущества. После возобновления работы службы одного окна обращение можно будет подать в бумажном виде.
Помощь в кредитовании: в столице приняли третий пакет мер поддержки бизнеса"
15 апреля,Стартовал международный конкурс на разработку дизайна двух станций метро,Транспорт,https://www.mos.ru//news/item/72669073/,"Фото: Пресс-служба Мэра и Правительства Москвы. Евгений Самарин
Участие в нем смогут принять российские и зарубежные архитектурные бюро, которые могут привлечь в свою команду дизайнеров, инженеров, проектировщиков, специалистов в области экономики и финансового моделирования.
В столице стартовал открытый международный конкурс на разработку проектов оформления двух новых станций метро — «Проспект Маршала Жукова» Рублево-Архангельской линии и «Кленовый бульвар 2» Бирюлевской линии. Об этом сообщил главный архитектор Москвы Сергей Кузнецов. 
«Мы имеем серьезный опыт в проведении конкурсов на разработку архитектурно-художественных концепций станций метро, город всегда нас поддерживал в этом вопросе. И результаты неизменно превосходили наши ожидания благодаря таланту и профессионализму участников. Сегодня часть из девяти конкурсных станций реализована, и пришло время объявить новый конкурс, уже пятый по счету. К участию приглашаются российские и международные команды», — отметил он.
Принять участие в конкурсе смогут отечественные и зарубежные архитектурные бюро (при наличии российского представительства или в консорциуме с российским партнером), способные привлечь в свою команду дизайнеров, инженеров, проектировщиков, специалистов в области экономики и финансового моделирования.
По словам Сергея Кузнецова, предложенные концепции оформления станций должны гармонично сочетаться с градостроительными и культурно-историческими особенностями района, где они будут расположены. Важно, чтобы проекты соответствовали духу времени, были технологичными, удобными с точки зрения навигации и адаптированы для передвижения всех категорий населения. 
Два этапа: от ключевых идей до финальных проектов
Конкурс пройдет в два этапа. Командам необходимо заполнить заявку на официальном сайте конкурса до 21 мая.

На первом, отборочном этапе нужно будет представить портфолио актуальных проектов и эссе с описанием ключевых идей архитектурно-художественного оформления станций. В результате определят пять лучших проектов по каждой станции.

Второй этап посвятят работе над конкурсными проектами. Финалисты на протяжении полутора месяцев будут заниматься доработкой своих идей в соответствии с требованиями расширенного технического задания, а затем представят финальные концепции. 20 августа жюри определит проекты-победители, которые и будут реализованы.

В состав жюри вошли главный архитектор Москвы Сергей Кузнецов, генеральный директор АО «Мосинжпроект» Марс Газизуллин, начальник Московского метрополитена Виктор Козловский, ведущие российские и зарубежные специалисты в сфере архитектуры, дизайна и городского планирования. Председатель жюри — заммэра Москвы по вопросам градостроительной политики и строительства Андрей Бочкарев. 
История вопроса
Долгожданные, радиальные, твои. Когда и куда протянут новые ветки метроПредшественники «Москвы»: какими были первые поезда в метро
«Проспект Маршала Жукова» — пересадочная станция, которая соединит две линии метро — Большую кольцевую линию (БКЛ) и Рублево-Архангельский радиус. Она будет располагаться на пересечении улицы Демьяна Бедного и проспекта Маршала Жукова в Хорошево-Мневниках и станет ключевым транзитным пунктом для жителей района. Станционный комплекс построят на участке линии глубокого заложения. По плану к станции ведут два однопутных тоннеля, потому ее спроектировали с одной островной посадочной платформой.

«Кленовый бульвар 2» (рабочее название) — пересадочная станция. Она станет частью транспортно-пересадочного узла, формируемого БКЛ и перспективной Бирюлевской линией метро. Станция будет расположена в районе Нагатинский Затон на юге Москвы. Она улучшит транспортную ситуацию в районе, а также обеспечит удобный доступ к музею-заповеднику «Коломенское». 
Станция разместится на пересечении Кленового бульвара с Коломенской улицей. Ее построят на участке линии мелкого заложения. По плану к «Кленовому бульвару 2» ведут два однопутных тоннеля, поэтому она спроектирована с одной островной посадочной платформой.
Подать заявку на конкурс"
